Stock;Price;P/L;P/VP;PSR;D.Yield;P/Ativos;P/Cap. Giro;P/EBIT;P/ACL;EV/EBIT;EV/EBITDA;Marg. EBIT;Marg. Liq.;Liq. Corr.;ROIC;ROE;Liq. L2M;Pat. Liq.;Div. Brut./Pat. Liq.;CRL L5A
RDNI3;5.23;-65.86;0.37;0.368;0.0276;0.099;0.79;9.6;-0.24;38.97;32.66;0.0384;0.011;1.71;0.0107;-0.0056;176051;622114000;1.18;0.2852
MAPT4;11;-63.98;-1.63;0;0;13.078;-2021.8;-73.25;-1.45;-73.25;-73.25;0;0;0;-0.1797;0.0255;62.51;-6207000;0;0
NINJ3;4.48;-57.53;0.81;3.819;0;0.76;0.87;-6.45;0.87;1.17;1.24;-0.592;-0.0664;15.59;-16.011;-0.0141;1558000;280216000;0;-0.021
DOHL4;5.71;-45.99;0.62;0.659;0;0.448;0.97;-24.23;1.69;-25.58;483.46;-0.0272;-0.0143;7.03;-0.021;-0.0134;13822.4;699104000;0.15;0.1004
HAPV3;4.64;-44.59;0.71;1.326;0;0.466;28.67;-85.52;-2.12;-99.82;21.18;-0.0155;-0.0297;1.15;-0.0059;-0.0159;345282000;49333000000;0.23;0.5159
MERC4;7.25;-36.31;0.53;0;0.0621;0;0;0;0;0;0;0;0;0;0;-0.0145;1533.7;248683000;0;0.0479
GUAR3;6.3;-35.92;0.62;0.369;0.0032;0.222;0.87;11.73;1674.16;18.1;5.5;0.0314;-0.0103;1.65;0.0242;-0.0173;11124500;5062220000;0.76;-0.2116
CSAN3;17.84;-28.93;1.86;0.798;0.024;0.248;3.02;5.11;-0.55;11.91;8.05;0.1562;0.0317;1.65;0.0566;-0.0645;112569000;17929300000;3.36;0.3976
CSNA3;12.15;-27.2;0.87;0.363;0.2407;0.192;1.65;2.24;-0.46;6.2;4.31;0.1623;-0.0024;1.53;0.1117;-0.0321;101518000;18482000000;2.25;0.187
LJQQ3;4.62;-26.79;1.69;0.37;0;0.306;1.16;21.53;-1.68;25.96;6.58;0.0172;-0.0138;1.71;0.0174;-0.063;18076900;512756000;0.75;0.1126
ALPA3;8.92;-26.71;1.15;1.515;0;0.784;3.47;27.68;13.02;31.94;17.52;0.0547;-0.0569;2.5;0.0316;-0.043;46799.8;5309890000;0.25;0.1835
EMBR3;18.11;-26.52;1.11;0.528;0;0.259;1.31;6.68;-1.6;9.94;6.34;0.079;-0.024;1.52;0.0537;-0.0418;119222000;12102300000;1.39;0.0197
ALPA4;8.64;-25.87;1.11;1.467;0;0.76;3.36;26.81;12.61;31.07;17.05;0.0547;-0.0569;2.5;0.0316;-0.043;57924300;5309890000;0.25;0.0197
AMBP3;22.33;-21.99;2.36;0.559;0.006;0.233;0.79;2.78;-0.61;7.54;5.39;0.2009;-0.0069;2.75;0.1238;-0.1075;24878900;1066510000;7.01;11.035
GOLL4;6.71;-19.77;-0.14;0.158;0;0.171;-0.26;1.85;-0.08;9.49;4.56;0.0852;-0.008;0.21;0.1122;0.007;108547000;-20415300000;-0.6;0.0769
MGLU3;2.62;-19.74;1.77;0.47;0;0.497;4.61;15.94;-2.72;20.22;9.49;0.0295;-0.0238;1.25;0.0439;-0.0895;276533000;10011500000;0.72;0.2299
ORVR3;37.98;-18.85;5.12;4.137;0;1.501;13.55;48.13;-3.43;61.46;15.38;0.086;-0.2099;1.81;0.0342;-0.2714;13621900;615668000;1.64;0.4138
SYNE3;4.11;-17.46;0.42;1.48;0;0.156;1.95;4.56;-0.6;9.58;6.53;0.3245;-0.0534;4.21;0.0373;-0.0238;751132;1507070000;0.67;0.1623
RCSL3;1.75;-17.45;514.45;3.36;0;3.647;22.42;-203.43;-7.57;-203.19;1534.41;-0.0165;-0.1951;1.47;-0.0187;-294.757;4085280;433000;0;0.5662
ESPA3;1.68;-16.07;0.69;0.626;0;0.266;2.49;5.83;-1.34;12.67;7.25;0.1075;-0.0414;1.35;0.051;-0.043;3453730;878234000;1.05;0.127
ZAMP3;5.68;-14.03;1.14;0.414;0;0.389;11.73;18.4;-0.88;27.04;4.52;0.0225;-0.0295;1.18;0.0254;-0.0815;18436500;1367230000;0.85;0.1038
COGN3;2.89;-13.3;0.45;0.99;0;0.212;4;4.52;-0.7;9.67;6.21;0.2188;-0.0777;1.41;0.0521;-0.0335;66118600;12180800000;0.64;-0.0679
RCSL4;1.3;-12.97;382.16;2.496;0;2.709;16.66;-151.12;-5.62;-150.88;1139.38;-0.0165;-0.1951;1.47;-0.0187;-294.757;6401540;433000;0;0.3947
ANIM3;3.5;-12.87;0.55;0.389;0;0.141;10.78;2.48;-0.28;9.79;4.93;0.1567;0.0114;1.07;0.0643;-0.0426;34022100;2579940000;2;0.3918
DASA3;12.8;-12.81;1.18;0.695;0.0056;0.352;22.56;9.37;-0.88;17.44;8.14;0.0741;-0.0545;1.05;0.0444;-0.0924;9505980;8139120000;1.37;0.5662
OPCT3;5.11;-11.44;1.29;0.728;0;0.434;-7.54;6.47;-1.15;12.89;5.08;0.1124;0.0423;0.83;0.0752;-0.1132;2999090;789330000;1.48;0
IRBR3;42.93;-11.43;0.85;0.522;0;0.171;0;-3.27;0;0;0;-0.1596;-0.0456;0;0;-0.0747;120340000;4137420000;0;0.4525
CASH3;6.06;-11.35;0.68;1.418;0;0.447;0.9;-4.48;0.99;-1.11;-1.32;-0.3169;-0.1291;2.71;-0.1519;-0.06;30831100;770573000;0;0.4847
ENJU3;1.47;-9.55;0.79;2.029;0;0.705;0.99;-5.08;1.01;-0.06;-0.09;-0.399;-0.2124;8.29;-0.5193;-0.0832;2668450;375094000;0;0.1893
ALPK3;4.64;-7.77;2.71;0.805;0;0.372;-3.42;3.98;-0.53;8.84;4.58;0.2023;-0.0998;0.6;0.1119;-0.3495;1417820;366519000;4.13;0.3668
NTCO3;15.22;-7.43;1.02;0.61;0;0.416;4.87;14.84;-1.53;21.84;7.9;0.0411;-0.0822;1.36;0.0342;-0.138;179498000;20543900000;0.65;-0.0872
AERI3;1.02;-7.33;0.93;0.263;0;0.246;1.03;2.79;-2.01;6.15;5.16;0.0943;-0.0359;1.63;0.1422;-0.1265;6612430;843215000;2.12;0.2326
CEED3;27;-6.14;-0.64;0.374;0;0.246;4.16;3.78;-0.25;8.91;6.72;0.0991;-0.0609;1.18;0.0873;0.1045;1868.86;-2871730000;-1.38;0.1158
MLAS3;3.2;-6.03;0.7;0.655;0;0.403;0.73;-5.33;1.08;-5.74;-6.51;-0.1228;-0.1087;3.27;-0.0997;-0.1161;7828680;3754480000;0.29;-0.0793
BRKM3;24.1;-5.65;2.66;0.236;0;0.218;1.71;-12.92;-0.41;-27.69;11.26;-0.0182;-0.0476;1.49;-0.0246;-0.47;945286;7232560000;5.19;0
